rule,supp,conf
t0.keywords = t1.keywords -> t0.municipality = t1.municipality, supp: 640, conf: 0.9523809523809523
t0.keywords = t1.keywords -> t0.elevation_ft = t1.elevation_ft, supp: 634, conf: 0.9434523809523809
t0.iata_code = t1.iata_code -> t0.local_code = t1.local_code, supp: 484, conf: 0.937984496124031
t0.iso_region = t1.iso_region -> t0.home_link = t1.home_link, supp: 2677709, conf: 0.912107930649101
t0.municipality = t1.municipality -> t0.iata_code = t1.iata_code, supp: 60164, conf: 0.9206145183008936
t0.local_code = t1.local_code -> t0.home_link = t1.home_link, supp: 674, conf: 0.9157608695652174
t0.iata_code = t1.iata_code -> t0.home_link = t1.home_link, supp: 468, conf: 0.9069767441860465
t0.local_code = t1.local_code -> t0.scheduled_service = t1.scheduled_service, supp: 666, conf: 0.904891304347826
t0.elevation_ft = t1.elevation_ft -> t0.home_link = t1.home_link, supp: 282166, conf: 0.9033648151112534
t0.municipality = t1.municipality -> t0.wikipedia_link = t1.wikipedia_link, supp: 58706, conf: 0.8983045660423552
t0.iso_region = t1.iso_region ^ t0.elevation_ft = t1.elevation_ft ^ t0.iso_country = BR -> t0.type = t1.type, supp: 870, conf: 0.8823529411764706
t0.iso_region = t1.iso_region ^ t0.elevation_ft = t1.elevation_ft ^ t1.iso_country = BR -> t0.type = t1.type, supp: 870, conf: 0.8823529411764706
t0.municipality = t1.municipality ^ t0.elevation_ft = t1.elevation_ft -> t0.keywords = t1.keywords, supp: 601, conf: 0.869753979739508
t0.local_code = t1.local_code -> t0.keywords = t1.keywords, supp: 640, conf: 0.8695652173913043
t0.elevation_ft = t1.elevation_ft -> t0.scheduled_service = t1.scheduled_service, supp: 267618, conf: 0.856788858652153
t0.iso_region = t1.iso_region -> t0.iata_code = t1.iata_code, supp: 2455489, conf: 0.8364131391878769
t0.type = t1.type ^ t1.iso_country = BR -> t0.keywords = t1.keywords, supp: 13096995, conf: 0.7715428246784461
t0.continent = t1.continent ^ t1.iso_country = BR -> t0.keywords = t1.keywords, supp: 4117365, conf: 0.7933756596506258
t0.municipality = t1.municipality -> t0.iso_region = t1.iso_region, supp: 53086, conf: 0.8123087281184967
t0.iso_region = t1.iso_region ^ t0.type = t1.type -> t0.keywords = t1.keywords, supp: 1133419, conf: 0.7978997580434536
t0.iso_region = t1.iso_region -> t0.wikipedia_link = t1.wikipedia_link, supp: 2321537, conf: 0.7907850737310597
t0.iso_region = t1.iso_region ^ t0.elevation_ft = t1.elevation_ft -> t0.iso_country = US, supp: 10267, conf: 0.7863215133644789
t0.municipality = t1.municipality ^ t1.iso_country = US -> t0.iso_country = US, supp: 21067, conf: 0.7832472022902183
t0.elevation_ft = t1.elevation_ft ^ t1.iso_country = BR ^ t0.iso_country = BR -> t0.type = t1.type, supp: 3637, conf: 0.7819823693829284
t0.local_code = t1.local_code -> t0.wikipedia_link = t1.wikipedia_link, supp: 572, conf: 0.7771739130434783
t0.iso_region = t1.iso_region ^ t0.elevation_ft = t1.elevation_ft -> t0.keywords = t1.keywords, supp: 10136, conf: 0.7762885808378648
t0.elevation_ft = t1.elevation_ft ^ t0.type = t1.type -> t0.keywords = t1.keywords, supp: 107966, conf: 0.7753393177737882
t0.local_code = t1.local_code -> t0.type = t1.type, supp: 570, conf: 0.7744565217391305
t0.iso_country = t1.iso_country ^ t1.iso_country = BR -> t0.keywords = t1.keywords, supp: 2377989, conf: 0.7616171981517406
t0.elevation_ft = t1.elevation_ft ^ t0.iso_country = t1.iso_country ^ t0.iso_country = BR -> t0.type = t1.type, supp: 3205, conf: 0.7596586868926286
t0.elevation_ft = t1.elevation_ft ^ t0.iso_country = t1.iso_country ^ t1.iso_country = BR -> t0.type = t1.type, supp: 3205, conf: 0.7596586868926286
t0.municipality = t1.municipality -> t0.type = t1.type, supp: 49574, conf: 0.7585689802913453
t0.municipality = t1.municipality ^ t0.scheduled_service = t1.scheduled_service ^ t1.iso_country = BR -> t0.keywords = t1.keywords, supp: 8500, conf: 0.7585222202391576
t0.elevation_ft = t1.elevation_ft ^ t0.iso_country = t1.iso_country -> t0.keywords = t1.keywords, supp: 75934, conf: 0.7547511132315522
t0.iso_region = t1.iso_region ^ t0.scheduled_service = t1.scheduled_service ^ t1.iso_country = BR -> t0.keywords = t1.keywords, supp: 208466, conf: 0.7522046619037309
t0.continent = t1.continent ^ t0.elevation_ft = t1.elevation_ft ^ t0.iso_country = BR -> t0.iso_country = t1.iso_country, supp: 4335, conf: 0.7507793557325944
t0.continent = t1.continent ^ t0.elevation_ft = t1.elevation_ft ^ t1.iso_country = BR -> t0.iso_country = BR, supp: 4335, conf: 0.7507793557325944
t0.continent = t1.continent ^ t0.elevation_ft = t1.elevation_ft ^ t1.iso_country = BR -> t0.iso_country = t1.iso_country, supp: 4335, conf: 0.7507793557325944
t0.continent = t1.continent ^ t0.elevation_ft = t1.elevation_ft ^ t0.type = t1.type -> t0.iso_country = t1.iso_country, supp: 51678, conf: 0.7505010311074966
