id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
27937,YRWH,small_airport,Ravensworth Airport,-34.63330078,144.2830048,,OC,AU,AU-NSW,,no,YRWH,,,,,
20403,KM01,small_airport,General Dewitt Spain Airport,35.20069885,-90.05400085,225,NA_,US,US-TN,Memphis,no,KM01,,M01,,,
14378,7S4,small_airport,Wisdom Airport,45.59159851,-113.4589996,6133,NA_,US,US-MT,Wisdom,no,7S4,,7S4,,,
40746,SK-185,small_airport,Tamaca Airport,9.916667,-73.231389,348,SA,CO,CO-CES,Codazzi,no,,,COZ,,,
5199,OITK,small_airport,Khoy Airport,38.42750168,44.97359848,3981,AS,IR,IR-02,Khoy,no,OITK,KHY,,,https://en.wikipedia.org/wiki/Khoy_Airport,
3760,KOTM,medium_airport,Ottumwa Regional Airport,41.10660172,-92.44789886,845,NA_,US,US-IA,Ottumwa,no,KOTM,OTM,OTM,,,
3334,VI76,small_airport,Band Tal Airport,26.00009918,78.26180267,790,AS,IN,IN-MP,,no,VI76,,VI76,,,
39867,CA-0221,closed,Malloch Dome Airport,78.21666718,-101.0500031,,NA_,CA,CA-NU,,no,,,,,,
18353,K0C4,small_airport,Pender Municipal Airport,42.11389923,-96.72889709,1345,NA_,US,US-NE,Pender,no,K0C4,,0C4,,,
20693,KO51,closed,Laverne Municipal Airport,36.744498,-99.908699,2112,NA_,US,US-OK,Laverne,no,,,,,,"OK67, O51, 4OK8"
17009,CT52,small_airport,Flying Ridge Airstrip,41.36819839,-73.29119873,610,NA_,US,US-CT,Newtown,no,CT52,,CT52,,,
23080,NJ35,heliport,Chem-Fleur Helistop,40.70199966,-74.13240051,14,NA_,US,US-NJ,Newark,no,NJ35,,NJ35,,,
42088,MHLI,small_airport,Talanguita Airport,14.48750019,-87.17972565,760,NA_,HN,HN-FM,,no,MHLI,,,,,
24138,PN29,closed,Lazy J Heliport,41.295898,-75.594101,1600,NA_,US,US-PA,Moscow,no,,,,,,PN29
16090,A88,closed,Gunsight Mountain Airport,61.9006,-147.316632,2950,NA_,US,US-AK,Gunsight Mountain Lodge,no,,,,,,A88
28458,CAP5,seaplane_base,Victoria Airport,48.65389205,-123.4504509,,NA_,CA,CA-BC,,no,CAP5,,CAP5,,,
322495,FK-0032,small_airport,Port Edgar Airport,-52.090803,-60.282682,65,SA,FK,FK-U-A,Port Edgar,no,,,,,,
21267,KU62,small_airport,Mackay Airport,43.90409851,-113.6009979,5892,NA_,US,US-ID,Mackay,no,KU62,,U62,,,
5393,PAOM,medium_airport,Nome Airport,64.5121994,-165.4450073,37,NA_,US,US-AK,Nome,yes,PAOM,OME,OME,,https://en.wikipedia.org/wiki/Nome_Airport,
43195,HK-0004,heliport,Ping Chau Helipad,22.54333305,114.4305573,,AS,HK,HK-U-A,Ping Chau Island,no,,,,,,
18862,K4Y4,small_airport,Lakes of the North Airport,44.91249847,-84.87640381,1286,NA_,US,US-MI,Gaylord,no,K4Y4,,4Y4,,,
310887,ID-0114,small_airport,Padang Pagai Airstrip,-2.8574,100.2145,141,AS,ID,ID-SB,Pagai-Selatan Island,no,,,,,,WW48
